#FREEMATICSEV=1,TS=30240,SK=TEST_SERVER_KEY,VIN=AUZZZ8V3FA166868 81=100 
30610:0=30610 
30610:10D=3 
30610:30=12 
30610:10C=0 
30610:104=0 
30610:111=16 
30610:24=1381 
30610:20=0;2;-5 
31240:0=31240 
31240:82=51 
31240:10D=3 
31240:30=12 
31240:10C=0 
31240:104=0 
31240:111=16 
31240:24=1330 
31240:20=0;2;-5 
31850:0=31850 
31850:82=51 
31850:10D=2 
31850:30=12 
31850:10C=0 
31850:104=0 
31850:111=16 
31850:24=1321 
31850:20=0;3;-7 
32460:0=32460 
32460:82=51 
32460:10D=1 
32460:30=12 
32460:10C=0 
32460:104=0 
32460:111=16 
32460:24=1321 
32460:20=0;5;-9 
33080:0=33080 
33080:82=51 
33080:10D=0 
33080:30=12 
33080:10C=0 
33080:104=0 
33080:111=16 
33080:24=1312 
33080:20=0;4;-11 
33690:0=33690 
33690:82=51 
33690:10D=0 
33690:30=12 
33690:10C=0 
33690:104=0 
33690:111=16 
33690:24=1314 
33690:20=8;2;2 
34340:0=34340 
34340:10D=1 
34340:30=12 
34340:10C=0 
34340:104=0 
34340:111=16 
34340:24=1310 
34340:20=8;2;-9 
34950:0=34950 
34950:10D=3 
34950:30=12 
34950:10C=0 
34950:104=0 
34950:111=16 
34950:24=1318 
34950:20=11;3;-11 
35570:0=35570 
35570:10D=5 
35570:30=12 
35570:10C=0 
35570:104=0 
35570:111=16 
35570:24=1331 
35570:20=3;3;-11 
36180:0=36180 
36180:10D=6 
36180:30=12 
36180:10C=0 
36180:104=0 
36180:111=16 
36180:24=1332 
36180:20=2;5;-10 
36790:0=36790 
36790:10D=7 
36790:30=13 
36790:10C=0 
36790:104=0 
36790:111=16 
36790:24=1343 
36790:20=0;6;-13 
37460:0=37460 
37460:10D=8 
37460:30=14 
37460:10C=0 
37460:104=0 
37460:111=16 
37460:24=1340 
37460:20=0;3;-11 
38070:0=38070 
38070:10D=9 
38070:30=15 
38070:10C=0 
38070:104=0 
38070:111=16 
38070:24=1339 
38070:20=-1;1;-12 
38690:0=38690 
38690:10D=10 
38690:30=16 
38690:10C=0 
38690:104=0 
38690:111=16 
38690:24=1334 
38690:20=1;7;-8 
39300:0=39300 
39300:10D=10 
39300:30=17 
39300:10C=0 
39300:104=0 
39300:111=16 
39300:24=1336 
39300:20=1;4;-7 
39910:0=39910 
39910:10D=11 
39910:30=18 
39910:10C=0 
39910:104=0 
39910:111=16 
39910:24=1335 
39910:20=1;3;-3 
40560:0=40560 
40560:10D=12 
40560:30=20 
40560:10C=0 
40560:104=0 
40560:111=16 
40560:24=1331 
40560:20=3;3;-3 
41180:0=41180 
41180:10D=13 
41180:30=22 
41180:10C=0 
41180:104=0 
41180:111=16 
41180:24=1326 
41180:20=0;5;-7 
41790:0=41790 
41790:10D=13 
41790:30=24 
41790:10C=0 
41790:104=0 
41790:111=16 
41790:24=1322 
41790:20=5;7;-7 
42400:0=42400 
42400:10D=14 
42400:30=26 
42400:10C=0 
42400:104=0 
42400:111=16 
42400:24=1323 
