#FREEMATICSEV=1,TS=39890,SK=TEST_SERVER_KEY,VIN=AUZZZ8V3FA166868 81=220 
40620:0=40620 
40620:10D=12 
40620:30=67 
40620:10C=0 
40620:104=0 
40620:111=16 
40620:10F=42 
40620:24=1540 
40620:20=-2;-6;8 
41370:0=41370 
41370:82=44 
41370:10D=7 
41370:30=68 
41370:10C=0 
41370:104=0 
41370:111=16 
41370:24=1541 
41370:20=2;-7;15 
41980:0=41980 
41980:82=44 
41980:10D=4 
41980:30=68 
41980:10C=0 
41980:104=0 
41980:111=16 
41980:24=1500 
41980:20=0;0;-1 
52610:0=52610 
52610:10D=0 
52610:30=73 
52610:10C=0 
52610:104=0 
52610:111=16 
52610:24=1395 
52610:20=0;0;0 
53230:0=53230 
53230:10D=0 
53230:30=73 
53230:10C=0 
53230:104=0 
53230:111=16 
53230:24=1393 
53230:20=0;0;-1 
53840:0=53840 
53840:10D=0 
53840:30=73 
53840:10C=0 
53840:104=0 
53840:111=16 
53840:24=1396 
53840:20=0;0;0 
54450:0=54450 
54450:10D=0 
54450:30=73 
54450:10C=0 
54450:104=0 
54450:111=16 
54450:24=1396 
54450:20=0;1;-1 
55060:0=55060 
55060:10D=0 
55060:30=73 
55060:10C=0 
55060:104=0 
55060:111=16 
55060:24=1398 
55060:20=0;0;-1 
55710:0=55710 
55710:10D=0 
55710:30=73 
55710:10C=0 
55710:104=0 
55710:111=16 
55710:24=1394 
55710:20=0;0;0 
56330:0=56330 
56330:10D=0 
56330:30=73 
56330:10C=0 
56330:104=0 
56330:111=16 
56330:24=1393 
56330:20=0;0;-1 
56940:0=56940 
56940:10D=0 
56940:30=73 
56940:10C=0 
56940:104=0 
56940:111=16 
56940:24=1395 
56940:20=0;0;-1 
57550:0=57550 
57550:10D=0 
57550:30=73 
57550:10C=0 
57550:104=0 
57550:111=16 
57550:24=1396 
57550:20=0;0;-1 
58160:0=58160 
58160:10D=0 
58160:30=73 
58160:10C=0 
58160:104=0 
58160:111=16 
58160:24=1396 
58160:20=0;0;0 
58820:0=58820 
58820:10D=0 
58820:30=73 
58820:10C=0 
58820:104=0 
58820:111=16 
58820:24=1397 
58820:20=0;3;-5 
59430:0=59430 
59430:10D=0 
59430:30=73 
59430:10C=0 
59430:104=0 
59430:111=16 
59430:24=1393 
59430:20=0;10;-21 
60040:0=60040 
60040:10D=3 
60040:30=73 
60040:10C=0 
60040:104=0 
60040:111=16 
60040:24=1394 
60040:20=0;14;-32 
60650:0=60650 
60650:10D=9 
60650:30=74 
60650:10C=0 
60650:104=0 
60650:111=16 
60650:24=1395 
60650:20=-3;9;-18 
61260:0=61260 
61260:10D=15 
61260:30=76 
61260:10C=0 
61260:104=0 
61260:111=16 
61260:24=1396 
61260:20=6;5;-17 
61930:0=61930 
61930:10D=20 
61930:30=79 
61930:10C=0 
61930:104=0 
61930:111=16 
61930:24=1394 
61930:20=-12;9;-11 
62540:0=62540 
62540:10D=24 
62540:30=82 
62540:10C=0 
62540:104=0 
62540:111=12 
62540:24=1386 
62540:20=10;9;-22 
63150:0=63150 
63150:10D=28 
63150:30=86 
63150:10C=390 
63150:104=26 
63150:111=16 
63150:24=1378 
63150:20=-21;11;-20 
63760:0=63760 
63760:10D=31 
63760:30=90 
63760:10C=2365 
63760:104=36 
63760:111=29 
63760:24=1383 
63760:20=0;14;-13 
64400:0=64400 
64400:10D=35 
64400:30=95 
64400:10C=2526 
64400:104=52 
64400:111=34 
64400:24=1393 
64400:20=-3;7;-10 
